verse-number	original-word	translated-word	not-confirmed	translations	headword
253	Conme	comme			
253	ce	ce		ce, ça, lui, cela, ceci, le, il	
253	vint	arrive		vint, arrive, arriva, vienne, vient	
253	aprés	après		après, derrière	
253	mengier	manger			
253	,				
254	Renart	Renart			
254	s'en	s'en		s'en, si on	
254	vint	vint		vint, arrive, arriva, vienne, vient	
254	esbanoier	s'amuser			
255	En	dans		en, dans, sur, à, de, dans le, on, au	
255	la	la		la, là, là-bas, entendit, nos	
255	meson	maison			
255	mout	tout		très, beaucoup, fort, trop, longtemps, tout, plus	
255	lieement	joyeusement			
255	,				
256	Son	son		son, sien, haut, ses, air, à lui	
256	oncle	oncle			
256	trove	trouve		retrouve, trouve	
256	mout	très		très, beaucoup, fort, trop, longtemps, tout, plus	
256	dolent	malheureux		malheureux, ai mal, triste	
256	.				
257	«				
257	Oncle	oncle			
257	,				
257	dist/dist_il	dit-il			
257	il/dist_il	_EMPTY_			
257	,				
257	que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
257	avez	avez			
257	vos	vous		vous, vos, votre	
257	?				
258	Pensis	pensif			
258	vos	vous		vous, vos, votre	
258	voi	vois			
258	et	et		et, ni, Et	
258	corouços	irrité			
258	.				
259	—				
259	Biau	cher		cher, beau, mon, bien	
259	niez	neveu			
259	,				
259	dist/dist_il	dit-il			
259	il/dist_il	_EMPTY_			
259	,				
259	bien	bien		bien, bon, béni, bon choix, bienveillance, vrai	
259	sai	sais		sais, connais	
259	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
259	qoi	quoi			
259	.				
260	Perdu	perdu		perdu, perdus	
260	sont	sont		sont, ont été	
260	mi	mes		mes, moi, me	
260	bacon	jambon			
260	tuit	tous		tous, tout	
260	troi	trois			
260	,				
261	S'en	s'en		s'en, si on	
261	ai	ai		ai, j'ai	
261	au	dans		au, dans, du, de, le	
261	cuer	cœur		cœur, coeur, son courage	
261	dolor	douleur			
261	et	et		et, ni, Et	
261	ire	colère		colère, courroux	
261	.				
262	—				
262	Oncle	oncle			
262	,				
262	dist/dist_il	dit-il			
262	il/dist_il	_EMPTY_			
262	,				
262	or	maintenant		maintenant, donc, alors, allez, là, or, Or, mais, à présent, par	
262	devez	devez			
262	dire	dire		dire, parler	
262	.				
263	Se	si		se, si, que, aussi vrai que, le, sais, ainsi	
263	vos	vous		vous, vos, votre	
263	dites	dites			
263	a	à		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
263	val	travers		bas, val, vallon, aval, travers	
263	la	la		la, là, là-bas, entendit, nos	
263	rue	rue		rue, lance	
264	Que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
264	cele	cette		cette, celle, celle-ci, ce	
264	char	viande		viande, chair	
264	aiez	avez		avez, ayez	
264	perdue	perdu			
264	,				
265	Puis	puis		puis, puits, depuis, peux, ainsi, ensuite, alors	
265	ne	ne		ne, ni, ou, et, sans	
265	vos	vous		vous, vos, votre	
265	en	en		en, dans, sur, à, de, dans le, on, au	
265	rovera	réclamera			
265	mie	pas		pas, point, miette, pas du tout, milieu, du tout, rien du tout, rien, très	
266	Parent	parents		parents, parent	
266	ne	ni		ne, ni, ou, et, sans	
266	ami	amis		amis, ami	
266	ne	ni		ne, ni, ou, et, sans	
266	amie	amie			
266	.				
267	—				
267	Biax	cher		cher, beau, beaux	
267	niez	neveu			
267	,				
267	fet/fet_il	fait-il			
267	il/fet_il	_EMPTY_			
267	,				
267	por	pour		pour, par, à cause de, parce, à propos, à cause, puis, vers	
267	voir	de vrai		vrai, vraiment, vérité, voir, sûr, de vrai, pour de vrai	
267	te	te		te, toi, tu	
267	di	dis		dis, parle, allez, dit	
267	,				
268	Perdu	perdu		perdu, perdus	
268	les	les		les, celles de, à côté, laisse, héritage, leur, légué	
268	ai	ai		ai, j'ai	
268	,				
268	ce	ça		ce, ça, lui, cela, ceci, le, il	
268	poise	pèse		pèse, tourment	
268	mi	me		mes, moi, me	
268	.				
268	»				
269	Renart	Renart			
269	respont	répond			
269	:				
269	«				
269	Ainz	avant		avant, plutôt, au contraire, mais, en fait	
269	n'oï	n'ai		n'entendit, n'entend, n'ai	
269	tal	de tel			
269	:				
270	Tiex	quiconque		quiconque, certain, tels, certains	
270	se	se		se, si, que, aussi vrai que, le, sais, ainsi	
270	plaint	plaint		plaint, plainte	
270	n'a	n'a pas		n'a pas, ni à, n'y a, n'a, ou en	
270	mie	du tout		pas, point, miette, pas du tout, milieu, du tout, rien du tout, rien, très	
270	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
270	mal	mal		mal, mauvais, mauvaise, maudite, méchanceté, terrible	
270	.				
271	Bien	bien		bien, bon, béni, bon choix, bienveillance, vrai	
271	sai	sais		sais, connais	
271	qu'en	qu'en		qu'on, qu'en, que dans	
271	sauf	sûreté		sauf, sûreté	
271	les	les		les, celles de, à côté, laisse, héritage, leur, légué	
271	avez	avez			
271	mis	mis			
272	Por	à cause de		pour, par, à cause de, parce, à propos, à cause, puis, vers	
272	vos	vos		vous, vos, votre	
272	parenz	parents		parents, arrangeant	
272	,				
272	por	à cause de		pour, par, à cause de, parce, à propos, à cause, puis, vers	
272	vos	vos		vous, vos, votre	
272	amis	amis			
272	.				
273	—				
273	Di	dis		dis, parle, allez, dit	
273	va	donc		va, donc	
273	,				
273	fet/fet_il	fait-il			
273	il/fet_il	_EMPTY_			
273	,				
273	es	es		es, dans les, et, sur les, battant, entre les	
273	tu	tu		tu, toi	
273	gabierre	en train de se moquer			
273	?				
274	Foi	foi		foi, confiance, parole	
274	que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
274	tu	tu		tu, toi	
274	doiz	dois		doigts, dois	
274	l'ame	l'âme			
274	ton	ton		ton, voix	
274	pere	père		père, parait, Pierre	
274	,				
275	Et	et		et, ni, Et	
275	ne	ne		ne, ni, ou, et, sans	
275	croiz	crois		crois, croix	
275	tu	tu		tu, toi	
275	ce	ce		ce, ça, lui, cela, ceci, le, il	
275	que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
275	je	je		je, moi	
275	di	dis		dis, parle, allez, dit	
275	?				
276	—				
276	Tout/tout_tens	sans cesse			
276	tens/tout_tens	_EMPTY_			
276	dites	dites			
276	,				
276	dist	dit		dit, a parlé, a dit, se dit	
276	Renart	Renart			
276	,				
276	si	ainsi		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
276	.				
277	—				
277	Renart	Renart			
277	,				
277	ce	lui		ce, ça, lui, cela, ceci, le, il	
277	dist	dit		dit, a parlé, a dit, se dit	
277	dame	dame		dame, mère, madame	
277	Hersens	Hersent			
277	,				
278	Je	je		je, moi	
278	cuit	pense		pense, cuit, crois	
278	vos	vous		vous, vos, votre	
278	estes	êtes		êtes, soyez	
278	fors	hors		dehors, hors, sauf, excepté, fort, en forme, forte, en dehors de, en dehors	
278	du	du		du, de, à cause du	
278	sens	sens		intelligence, sens, manière, Sens, sagesse, avis	
278	.				
279	Se	si		se, si, que, aussi vrai que, le, sais, ainsi	
279	nos	nous		nous, nos	
279	nes	ne les		ne les, nez	
279	eüssons	avions			
279	perduz	perdu			
279	,				
280	Ja	jamais		jamais, déjà, vraiment, jadis, même, maintenant, eh bien	
280	escondit	refusé à			
280	n'en	n'en			
280	fust	serait		fut, serait, fût, était	
280	renduz	moine		moine, rendu, moines	
280	.				
281	—				
281	Dame	dame		dame, mère, madame	
281	,				
281	dist/dist_il	dit-il			
281	il/dist_il	_EMPTY_			
281	,				
281	je	je		je, moi	
281	le	le		le, lui, la	
281	sai	sais		sais, connais	
281	bien	bien		bien, bon, béni, bon choix, bienveillance, vrai	
282	Que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
282	mout	beaucoup		très, beaucoup, fort, trop, longtemps, tout, plus	
282	savez	savez		savez, connaissez	
282	d'art	de malice			
282	et	et		et, ni, Et	
282	d'engien	de ruse			
282	.				
283	Nequedent	d'ailleurs			
283	tant	tellement		tant, jusqu'à, tellement, assez, autant, beaucoup	
283	i	y		y, en, là	
283	a	a		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
283	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
283	perte	perte			
283	,				
284	Vo	votre		votre, va	
284	maison	maison			
284	avez	avez			
284	descoverte	découverte			
284	:				
285	Or	maintenant		maintenant, donc, alors, allez, là, or, Or, mais, à présent, par	
285	dites	dites			
285	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
285	la	là		la, là, là-bas, entendit, nos	
285	en	en		en, dans, sur, à, de, dans le, on, au	
285	sont	ont été		sont, ont été	
285	tret	tiré		tiré, tire, étire, avance, sorti, déplace, aligné, arracher	
285	.				
286	—				
286	Par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
286	Dieu	Dieu			
286	,				
286	Renart	Renart			
286	,				
286	si	ainsi		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
286	sont	sont		sont, ont été	
286	il	ils		il, ils, lui	
286	fet	faits		fait, commis, faits, envoie	
286	.				
286	»				
287	Renart	Renart			
287	respont	répond			
287	:				
287	«				
287	Ce	ça		ce, ça, lui, cela, ceci, le, il	
287	devez	devez			
287	dire	dire		dire, parler	
287	.				
288	—				
288	Renart	Renart			
288	,				
288	n'en	n'en			
288	ai	ai		ai, j'ai	
288	talent	envie		envie, esprit	
288	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
288	rire	rire			
288	.				
289	Ce	ça		ce, ça, lui, cela, ceci, le, il	
289	poise	pèse		pèse, tourment	
289	moi	me		moi, me	
289	qu'il	qu'ils		qu'il, qu'ils, parce qu'il, sans qu'il, quand il, ce qu'il	
289	sont	sont		sont, ont été	
289	perdu	perdus		perdu, perdus	
289	,				
290	Grant	grand		grand, grande, gros, bon, toute	
290	donmage	dommage			
290	i	là		y, en, là	
290	avon	avons		avons, aurons	
290	eü	eu			
290	.				
290	»				
291	A/a_tant	là-dessus		là-dessus, aussitôt, alors, sur ce, jusque là	
291	tant/a_tant	_EMPTY_			
291	s'en	s'en		s'en, si on	
291	va	va		va, donc	
291	Renart	Renart			
291	joianz	joyeux			
291	,				
292	Et	et		et, ni, Et	
292	cil	eux		celui-ci, ce, celui, ces, ceux, ceux-ci, eux, celui-là, l'autre, cette, il	
292	remestrent	restent			
292	tuit	tout		tous, tout	
292	dolenz	malheureux		malheureux, triste	
292	.				
293	Ce	ce		ce, ça, lui, cela, ceci, le, il	
293	fu	fut		fut, était, a été, furent, il y a eu	
293	des	au sujet de		des, dès, au sujet de, dés, à propos	
293	enfances	jeunesse			
293	Renart	Renart			
293	.				
294	Tant	tant		tant, jusqu'à, tellement, assez, autant, beaucoup	
294	aprist	appris			
294	puis	puis		puis, puits, depuis, peux, ainsi, ensuite, alors	
294	d'engin	de ruse			
294	et	et		et, ni, Et	
294	d'art	de malice			
295	Que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
295	il	il		il, ils, lui	
295	en	en		en, dans, sur, à, de, dans le, on, au	
295	fist	a fait		a fait, fit, fait, agit	
295	puis	ensuite		puis, puits, depuis, peux, ainsi, ensuite, alors	
295	maint	de nombreux		de nombreux, mène, nombreux, maint, maints, beaucoup de, maintes, tant	
295	anui	ennui		ennui, de la peine, peine, mal	
296	Et	et		et, ni, Et	
296	a	à		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
296	son	son		son, sien, haut, ses, air, à lui	
296	oncle	oncle			
296	et	et		et, ni, Et	
296	a	à		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
296	autrui	autrui			
296	.				
297	Cil	cette		celui-ci, ce, celui, ces, ceux, ceux-ci, eux, celui-là, l'autre, cette, il	
297	plet	affaire		affaire, plaît, discours, procés	
297	fu	fut		fut, était, a été, furent, il y a eu	
297	a/a_tant	là-dessus		là-dessus, aussitôt, alors, sur ce, jusque là	
297	tant/a_tant	_EMPTY_			
297	definez	terminé			
297	,				
298	Et	et		et, ni, Et	
298	Renart	Renart			
298	s'est	s'est		s'est, devient	
298	acheminez	mis en route			
298	,				
299	Et	et		et, ni, Et	
299	s'en	s'en		s'en, si on	
299	vet	va		va, descend	
299	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
299	le	le		le, lui, la	
299	bois	bois			
299	fendant	coupant			
299	.				
300	Entre	entre		entre, ensemble, avec	
300	.I.	un		un, une	
300	tertre	tertre		colline, tertre	
300	et	et		et, ni, Et	
300	.I.	un		un, une	
300	pendant	pente		pente, pendre, pendant	
301	S'en	s'en		s'en, si on	
301	vet	va		va, descend	
301	Renart	Renart			
301	les	les		les, celles de, à côté, laisse, héritage, leur, légué	
301	saus	sauts		sauvé, saule, sauts	
301	menuz	petits		menu, petits	
301	.				
302	Ses	ses		ses, sais, les, ces, son	
302	amis	amis			
302	a	a		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
302	bien	bien		bien, bon, béni, bon choix, bienveillance, vrai	
302	confonduz	confondu			
302	,				
303	Car	car		car, donc	
303	bien	bien		bien, bon, béni, bon choix, bienveillance, vrai	
303	est	est		est, a	
303	des	au sujet de		des, dès, au sujet de, dés, à propos	
303	bacons	jambons			
303	delivre	à l'aise		libéré, à l'aise	
303	.				
304	Fuiant	fuyant			
304	s'en	s'en		s'en, si on	
304	vet	va		va, descend	
304	tot	tout		tout, tous	
304	a/a_delivre	librement			
304	delivre/a_delivre	_EMPTY_			
304	,				
305	Onc	jamais			
305	ne	ne		ne, ni, ou, et, sans	
305	fina	s'arrêta			
305	et	et		et, ni, Et	
305	tant	tant		tant, jusqu'à, tellement, assez, autant, beaucoup	
305	s'esgaie	s'écartait			
306	Qu'il	qu'il		qu'il, qu'ils, parce qu'il, sans qu'il, quand il, ce qu'il	
306	s'en	s'en		s'en, si on	
306	bati	précipita			
306	en	en		en, dans, sur, à, de, dans le, on, au	
306	une	une			
306	haie	haie			
306	,				
307	Par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
307	desus	dessus		dessus, sur	
307	une	une			
307	fosse	trou		fosse, trou	
307	oscure	obscure			
307	.				
308	La	la		la, là, là-bas, entendit, nos	
308	li	lui		lui, le, les, il, l', la, li, elle, ils, leur	
308	avint	arriva			
308	une	une			
308	aventure	aventure		aventure, hasard, risque, occasion	
309	De	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
309	qoi	quoi			
309	il	il		il, ils, lui	
309	li	le		lui, le, les, il, l', la, li, elle, ils, leur	
309	anuie	ennui		ennuie, ennui	
309	et	et		et, ni, Et	
309	poise	tourment		pèse, tourment	
309	,				
310	Qar	car		car, donc	
310	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
310	ce	ce		ce, ça, lui, cela, ceci, le, il	
310	conmença	commença		se met, commença, se mit	
310	la	la		la, là, là-bas, entendit, nos	
310	noise	tapage		tapage, bruit, vacarme	
311	Par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
311	mal	terrible		mal, mauvais, mauvaise, maudite, méchanceté, terrible	
311	pechié	péché			
311	et	et		et, ni, Et	
311	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
311	deable	diable			
312	Vers	envers		vers, envers, contre, vert	
312	Ysengrin	Ysengrin			
312	le	le		le, lui, la	
312	connestable	connétable			
312	.				
313	Quant	quand		quand, comme, autant, lorsque	
313	il	il		il, ils, lui	
313	vit	vit		vit, verge, bite	
313	la	la		la, là, là-bas, entendit, nos	
313	chevee	creusé			
313	roge	roche			
313	,				
314	Ne	ne		ne, ni, ou, et, sans	
314	set	sait			
314	que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
314	est	est		est, a	
314	,				
314	avant	en avant		en avant, devant, avant, encore, d'abord	
314	s'aproche	s'approche			
315	Por	pour		pour, par, à cause de, parce, à propos, à cause, puis, vers	
315	enquerre	s'informer		s'informer, informer	
315	et	et		et, ni, Et	
315	pour	pour			
315	savoir	savoir		savoir, sagesse, trouver, sage	
316	S'en	si on		s'en, si on	
316	i	y		y, en, là	
316	avoit	avait			
316	repost	caché			
316	avoir	fortune		avoir, bien, fortune, argent	
316	.				
317	Ainz	avant		avant, plutôt, au contraire, mais, en fait	
317	n'en	n'en			
317	sot	sache		sait, sot, connaît, se rendit compte, sache	
317	mot	mot			
317	que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
317	il	il		il, ils, lui	
317	s'avale	se laisse descendre			
317	,				
318	Lors	alors			
318	s'en	s'en		s'en, si on	
318	torna	retrouva		retrouva, tourna	
318	en/en_mi	au milieu			
318	mi/en_mi	_EMPTY_			
318	la	la		la, là, là-bas, entendit, nos	
318	sale	grand-salle		grand-salle, salle	
319	Dant	seigneur			
319	Ysengrin	Ysengrin			
319	son	son		son, sien, haut, ses, air, à lui	
319	bon	bon		bon, bien	
319	ami	amis		amis, ami	
319	,				
320	Qatre	quatre			
320	loviax	louveteaux		louveteaux, louvetaux	
320	gesant	couché			
320	en/en_mi	au milieu			
320	mi/en_mi	_EMPTY_			
321	Et	et		et, ni, Et	
321	ma/ma_dame	dame			
321	dame/ma_dame	_EMPTY_			
321	Hersent	Hersent			
321	la	la		la, là, là-bas, entendit, nos	
321	love	louve			
322	Qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
322	ses	ses		ses, sais, les, ces, son	
322	loviax	louveteaux		louveteaux, louvetaux	
322	norrist	nourrit			
322	et	et		et, ni, Et	
322	cove	couve			
322	.				
323	Novelement	nouvellement			
323	ert	a		était, sera, serait, a	
323	acouchie	accouché			
323	,				
324	A	a		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
324	chascun	chacun		chacun, chaque	
324	donnoit	donnait			
324	sa	sa		sa, avec	
324	bouchie	têtée			
324	,				
325	Mes	mais		mais, plus, mes, mon, encore, désormais, pourtant, auparavant	
325	n'avoit	n'avait			
325	pas	pas			
325	son	son		son, sien, haut, ses, air, à lui	
325	chief	tête		tête, bout, début, extrémité, fin	
325	covert	couvert			
325	.				
326	Garda	surveille		regarda, fit attention, surveille	
326	,				
326	si	puis		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
326	vit	vit		vit, verge, bite	
326	l'uis	la porte			
326	entrovert	entrouverte			
327	Et	et		et, ni, Et	
327	la	la		la, là, là-bas, entendit, nos	
327	clarté	clarté			
327	qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
327	trop	trop			
327	li	la		lui, le, les, il, l', la, li, elle, ils, leur	
327	grieve	gêne		fait souffrir, déplaît, écrase, gêne	
327	.				
328	Por	pour		pour, par, à cause de, parce, à propos, à cause, puis, vers	
328	regarder	regarder			
328	sa	sa		sa, avec	
328	teste	tête			
328	lieve	lève			
329	Por	pour		pour, par, à cause de, parce, à propos, à cause, puis, vers	
329	savoir	savoir		savoir, sagesse, trouver, sage	
329	qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
329	la	la		la, là, là-bas, entendit, nos	
329	ert	était		était, sera, serait, a	
329	venuz	venu		venu, arrivé, arrivés	
329	.				
330	Renart	Renart			
330	fu	était		fut, était, a été, furent, il y a eu	
330	grelles	grêle		grêle, trompes	
330	et	et		et, ni, Et	
330	menuz	menu		menu, petits	
330	,				
331	Muciez	caché			
331	estoit	était			
331	derier	derrière			
331	la	la		la, là, là-bas, entendit, nos	
331	porte	porte			
331	,				
332	Et	et		et, ni, Et	
332	Hersent	Hersent			
332	qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
332	mout	très		très, beaucoup, fort, trop, longtemps, tout, plus	
332	s'en	s'en		s'en, si on	
332	conforte	réconforte		réconforte, est soulagé	
332	,				
333	Le	le		le, lui, la	
333	connut	reconnut		a reconnu, reconnut	
333	bien	bien		bien, bon, béni, bon choix, bienveillance, vrai	
333	a	à		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
333	la	la		la, là, là-bas, entendit, nos	
333	piau	peau			
333	rouse	rousse			
333	.				
334	Ne	ne		ne, ni, ou, et, sans	
334	puet	peut			
334	muer	bouger			
334	qu'el	qu'elle		qu'elle, que dans le	
334	ne	ne		ne, ni, ou, et, sans	
334	s'escosse	s'agite			
334	,				
335	Si	puis		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
335	li	lui		lui, le, les, il, l', la, li, elle, ils, leur	
335	a	a		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
335	dit	dit		dit, parlé	
335	tout	tout			
335	en	en		en, dans, sur, à, de, dans le, on, au	
335	riant	riant			
335	:				
336	«				
336	Renart	Renart			
336	,				
336	qu'alez	qu'allez			
336	vos	vous		vous, vos, votre	
336	espiant	épiant			
336	?				
336	»				
337	Quant	quand		quand, comme, autant, lorsque	
337	Renart	Renart			
337	sot	se rendit compte		sait, sot, connaît, se rendit compte, sache	
337	qu'il	qu'il		qu'il, qu'ils, parce qu'il, sans qu'il, quand il, ce qu'il	
337	ert	était		était, sera, serait, a	
337	veüz	vu			
338	Et	et		et, ni, Et	
338	qu'il	qu'il		qu'il, qu'ils, parce qu'il, sans qu'il, quand il, ce qu'il	
338	estoit	était			
338	aparceüz	reconnu		aperçu, reconnu	
338	,				
339	Adonc	alors			
339	fu	fut		fut, était, a été, furent, il y a eu	
339	il	il		il, ils, lui	
339	touz	tout		tous, tout	
339	desconfiz	déconfit			
339	,				
340	De	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
340	honte	honte			
340	avoir	avoir		avoir, bien, fortune, argent	
340	est	est		est, a	
340	il	il		il, ils, lui	
340	toz	tout		tout, tous	
340	fiz	convaincu			
340	.				
341	N'ose	n'ose			
341	mot	mot			
341	dire	dire		dire, parler	
341	,				
341	tant	tant		tant, jusqu'à, tellement, assez, autant, beaucoup	
341	se/se_doute	a peur		a peur, se doute	
341	doute/se_doute	_EMPTY_			
342	Que	car		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
342	laiens	ici		ici, là-dedans, dedans	
342	ne	ne		ne, ni, ou, et, sans	
342	veoit	voit		voit, voyait	
342	l'en	l'on		l'on, l'en, lui en	
342	goute	goutte		goutte, guère	
342	.				
343	Et	et		et, ni, Et	
343	Hersent	Hersent			
343	solieve	soulève			
343	le	le		le, lui, la	
343	chief	tête		tête, bout, début, extrémité, fin	
343	,				
344	Si	puis		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
344	le	le		le, lui, la	
344	rapele	appelle		rappelle, appelle	
344	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
344	rechief	nouveau			
345	Et	et		et, ni, Et	
345	acene	fait signe			
345	a	avec		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
345	son	son		son, sien, haut, ses, air, à lui	
345	gresle	mince			
345	doit	doigt		doit, doigt	
345	:				
346	«				
346	Renart	Renart			
346	,				
346	Renart	Renart			
346	,				
346	la	la		la, là, là-bas, entendit, nos	
346	piau	peau			
346	le	le		le, lui, la	
346	doit	doit		doit, doigt	
347	Que	que		que, car, quoi, pour que, pendant, alors, qui, ce, ce que, comme, à cause de, lorsque, sans que, alors que	
347	soiez	soyez		soyez, coupé	
347	fel	perfide		perfide, félon, sale	
347	et	et		et, ni, Et	
347	deputaire	mauvais		mauvais, sale	
347	.				
348	Onc	jamais			
348	ne	ne		ne, ni, ou, et, sans	
348	me	me		me, moi	
348	vosistes	avez souhaité			
348	bien	bien		bien, bon, béni, bon choix, bienveillance, vrai	
348	faire	aller		faire, aller	
348	,				
349	Ne	ni		ne, ni, ou, et, sans	
349	ne	ne		ne, ni, ou, et, sans	
349	venistes	êtes venu			
349	la	là		la, là, là-bas, entendit, nos	
349	ou	où		où, ou, soit	
349	g'iere	j'étais			
349	.				
350	Je	je		je, moi	
350	ne	ne		ne, ni, ou, et, sans	
350	sai	connais		sais, connais	
350	riens	rien		rien, chose, quelque chose	
350	de	de		de, à, sur, pour, en, avec, que, du, De, par, dés, des	
350	tel	tel		tel, tellement, quiconque, telle, cette	
350	compere	compère			
351	Qui	qui		qui, que, celui qui, car, quelqu'un qui, quiconque	
351	sa	sa		sa, avec	
351	conmere	commère			
351	ne	ne		ne, ni, ou, et, sans	
351	revide	rende visite			
351	.				
351	»				
352	Renart	Renart			
352	a	a		à, a, avec, en, pour, de, auprès de, au, sur, par, des, ai, dans, est, devant, à côté de, vers	
352	grant/grant_peor	grand-peur			
352	peor/grant_peor	_EMPTY_			
352	et	et		et, ni, Et	
352	hide	effrayé			
352	,				
353	Ne	ne		ne, ni, ou, et, sans	
353	puet	peut			
353	muer	bouger			
353	ne	ne		ne, ni, ou, et, sans	
353	li	lui		lui, le, les, il, l', la, li, elle, ils, leur	
353	responde	réponde			
353	:				
354	«				
354	Dame	dame		dame, mère, madame	
354	,				
354	fet/fet_il	fait-il			
354	il/fet_il	_EMPTY_			
354	,				
354	Dex	Dieu			
354	me	me		me, moi	
354	confonde	confonde			
354	,				
355	S'onques	si jamais			
355	por	par		pour, par, à cause de, parce, à propos, à cause, puis, vers	
355	mal	méchanceté		mal, mauvais, mauvaise, maudite, méchanceté, terrible	
355	ne	ni		ne, ni, ou, et, sans	
355	por	par		pour, par, à cause de, parce, à propos, à cause, puis, vers	
355	haine	haine			
356	Ai	ai		ai, j'ai	
356	eschivé	évité			
356	vostre	votre			
356	gesine	couches			
356	;				
357	Ainz	avant		avant, plutôt, au contraire, mais, en fait	
357	i	en		y, en, là	
357	venisse	serais venu			
357	volentiers	volontiers			
357	.				
358	Mes	mais		mais, plus, mes, mon, encore, désormais, pourtant, auparavant	
358	quant	quand		quand, comme, autant, lorsque	
358	je	je		je, moi	
358	vois	vais			
358	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
358	ces	ces		ces, ses	
358	sentiers	sentiers			
358	,				
359	Si	puis		puis, si, ainsi, alors, aussi, si bien, tant, très, tellement, donc, et, pourtant, là, mais, beaucoup, sans, ainsi que, vraiment, ses, aussi vrai que	
359	m'espie	m'épie			
359	dant	seigneur			
359	Ysengrin	Ysengrin			
360	Et	et		et, ni, Et	
360	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
360	voie	voie		voie, guide, voit, chemin, route, vois, garde, sentier	
360	et	et		et, ni, Et	
360	par	par		par, vraiment, à travers, à cause, pour, avec, au, grâce à, à, mais, de, en, à  travers	
360	chemin	chemin			
360	.				
361	Por	à cause de		pour, par, à cause de, parce, à propos, à cause, puis, vers	
