"verse-number"	"original-verse"	"translated-verse"	"original-verse-to-confirm"	"translated-verse-to-confirm"	"episode-number"	"is-last-verse"	"top-margin"	"indentation"	"story-title"	"episode-title"	"url"	"image-src"	"image-href"	"section-original-title"	"section-translated-title"	"vol-1-fixes (fhs)"	"vol-2-fixes (mc)"
2460	"Drece la teste, s'oreilla,"	"Il dresse la tête, prête l'oreille,"															
2461	"Si a oï dant Renardier"	"il entend seigneur Renart"															
2462	"Qui ja estoit a gelinier,"	"qui est dans le poulailler,"															
2463	"Si cuida estre toz robez."	"et s'imagine qu'il est en train de tout piller."															
2464	"De son lit saut toz esfreez,"	"Il saute de son lit tout agité,"															
2465	"Ses chiens apele et sa mesnie,"	"il appelle ses chiens et sa maisonnée,"															
2466	"Du fuerre prent une bracie,"	"il prend une brassée de fourrage"															
2467	"Et si l'a el fouier jeté."	"et la jette dans le foyer."	"fouier"	"foyer / feu / réchaud"													
2468	"Le feu est tantost alumé"	"Le feu s'allume aussitôt"															
2469	"Si que par mi la meson voit."	"si bien qu'il peut voir dans la maison."															
2470	"Au gelinier en va tot droit,"	"Il s'en va tout droit au poulailler,"															
2471	"Et avec lui ses chiens enmainne."	"et emmène ses chiens avec lui."															
2472	"L'uis a overt a quelque painne,"	"Il ouvre la porte avec une certaine peine,"	"a quelque painne"	"avec une certaine peine"													
2473	"Et quant Tybert l'a entendu,"	"et quand Tibert l'entend,"															
2474	"Fuiant s'en va col estendu,"	"il s'échappe tout doucement,"															
2475	"Et tot coiement s'en eschape."	"puis s'en va en fuyant, le cou tendu."															
2476	"Et Renart remest en la trape,"	"Quant à Renart, il reste pris au piège,"															
2477	"Qui mout fort a fouir s'atorne,"	"et s'emploie très fort à déguerpir,"															
2478	"Si ne remaint ne ne sejorne,"	"il ne souhaite ni rester ni séjourner ici,"															
2479	"Les grans sauz se met a la fuie,"	"et se met en fuite à grands sauts."															
2480	"Et li vilain aprés lui huie"	"Le paysan lance ses chiens après lui"	"huie Ses chiens"	"lance ses chiens en criant"													
2481	"Ses chiens, si tost con l'ot veü,"	"en criant. Aussitôt qu'ils l'ont vu"															
2482	"Et quant il l'ont aparceü,"	"et qu'ils l'ont bien repéré,"															
2483	"Aprés se mistrent en la trace."	"il se mettent à sa poursuite."															
2484	"Et Renart durement menace"	"Renart profère de rudes menaces envers"															
2485	"Tybert se il le puet ataindre,"	"Tibert; s'il peut le rejoindre,"															
2486	"Il le fera crïer et geindre,"	"il le fera gémir et crier,"															
2487	"Qui tout ce li a esmeü,"	"lui qui a provoqué tout ça,"	"qui tout ce li a esmeü"	"lui qui a provoqué tout ça"													
2488	"Et que por fol l'a il tenu ;"	"et qui l'a pris pour un imbécile."															
2489	"Et li vilains le va huiant."	"Le paysan le suit en criant"															
2490	"Tybert le chat s'en va riant,"	"et Tibert le chat s'en va en riant,"															
2491	"Grant joie fet et mout est liez,"	"il s'en fait une grande joie, il est très content"															
2492	"Que de Renart s'est bien vengiez"	"car il s'est bien vengé de Renart,"															
2493	"Qui par barat l'ot escoué,"	"qui l'a privé de sa queue par tromperie."	"escoué"	"dépouillé de sa queue"													
2494	"Et vint tot droit au pel froé,"	"Il arrive tout droit sur le pieu cassé,"															
2495	"Si est sailliz hors del porpris."	"puis saute hors de l'enclos."															
2496	"Ne li chaut, puis que il n'est pris,"	"Il ne s'inquiète pas, puisqu'il n'est pas pris,"															
2497	"Que a Renart huimés aviengne,"	"et qu'il a bien eu Renart maintenant,"	"a Renart huimés aviengne"	"il a bien eu Renart maintenant"													
2498	"Au miex que il porra se tiengne."	"mieux qu'il ne pourra jamais le posséder."	"Au miex que il porra se tiengne"	"mieux qu'il ne pourra jamais le posséder"													
2499	"Mes Renart le sieut plus de pres"	"Mais Renart le suit de plus près"															
2500	"Qu'il ne cuide, et li chien aprés."	"qu'il ne le pensait, avec les chiens à sa suite."														"point final"	
2501	"Vint au pertuis et au destroit"	"Il arrive au trou qui donne sur le passage"															
2502	"Par la ou il entrez estoit,"	"par où il était entré;"															
2503	"Si se cuide par mi lancier."	"et pense pouvoir s'élancer à travers."															
2504	"Li chien pristrent a avancier,"	"Mais les chiens prennent les devants"	"pristrent a avancier"	"prennent les devants"													
2505	"Si l'aerdent au peliçon,"	"et s'agrippent à sa fourrure;"	"aerdent au peliçon"	"s'agrippent à sa fourrure"													
2506	"Bien li valut une friçon."	"ça lui vaut une bonne frayeur."															
2507	"Desoz lor piez l'ont abatu,"	"Ils le font tomber sous leurs pattes,"	"L'ont abatu"	"ils le font tomber"													
2508	"Mout l'ont defoulé et batu,"	"ils le piétinent et le battent fort,"															
2509	"Mout l'ont atorné malement."	"ils le maltraitent très méchamment."															
2510	"Renart l'endure bonnement,"	"Renart le supporte bravement,"															
2511	"Bien voit n'en pot fere autre chose,"	"il voit bien qu'il ne peut pas faire autre chose,"															
2512	"Car si ne pot ne fouir n'ose,"	"car il ne peut ni s'échapper, ni même essayer,"	"ne pot ne fouir n'ose"	"peut pas s'échapper, ni même essayer"													
2513	"Si con li chien le vont tirant."	"vu comme les chiens se mettent à le tirer."	"le vont tirant"	"se mettent à le tirer"													
2514	"Renart qui mout va soupirant,"	"Renart, qui se met à souffler fortement,"															
2515	"En aert .I. par les narines"	"en saisit un par les narines,"															
2516	"As dens qu'il a et fors et fines,"	"avec ses dents qu'il a fortes et fines,"															
2517	"Et si le fet crïer et braire."	"et il le fait crier puis hurler."															
2518	"Quant li chien voit n'en puet plus faire,"	"Quand le chien voit qu'il ne peut plus rien faire,"															
2519	"Saut en travers, s'escost la teste."	"il saute de côté et secoue la tête."															
2520	"Et Renart qui fu pute beste,"	"Renart, qui est une sale bête,"															
2521	"Li a la narille coupee,"	"lui a coupé la narine,"															
2522	"Entre ses denz l'en a portee,"	"et l'emporte entre ses dents."															
2523	"Vint au pertuis, par mi s'en fuit."	"Il va vers le trou et s'enfuit à travers,"															
2524	"Nel bailleront huimés, ce cuit."	"ils ne l'attraperont pas encore aujourd'hui, je pense."	"bailleront"	"attraperont"													
2525	"Fuit s'en Renart de grant randon"	"Renart s'enfuit à grande vitesse,"															
2526	"Tant con il puet a esperon,"	"autant qu'il peut éperonner,"															
2527	"Tant con piez le porent porter,"	"et que ses pattes peuvent l'emmener."															
2528	"Que dant Tybert cuida trover,"	"Il pense trouver seigneur Tibert"															
2529	"Mes il ne l'a mie trové."	"mais il ne l'aperçoit pas."															
2530	"Sachiez que mout li a grevé ;"	"Sachez qu'il l'aurait fort maltraité"															
2531	"Se Tybert l'eüst atendu,"	"si Tibert l'avait attendu."															
2532	"Il li eüst mout chier vendu"	"Il lui aurait fait payer très cher"															
2533	"L'estrif que li chien li ont fet."	"l'attaque que les chiens lui ont faite."															
2534	"Fuiant s'en vet tot .I. garet,"	"Il s'en va en fuyant à travers les labours,"	"Fuiant s'en vet tot .I. garet"	"Il s'en va en fuyant à travers les labours"													
2535	"Que grant peor ot des gaingnons,"	"car il a grand-peur des mâtins,"															
2536	"N'i atent per ne compaingnons."	"il n'attend ni camarade ni compagnon."				"x"											
2537	"Or escoutez une autre estoire,"	"Écoutez maintenant une autre histoire,"			39			"x"	"Primaut fait prêtre"	"Renart trouve des hosties"	"2010/04/primaut-fait-pretre-renart-trouve-des.html"	"https://3.bp.blogspot.com/-5Wn9CFi7Muw/V-_Soit3XbI/AAAAAAAAHro/H7iL_kG7PCUh1yZybtjb-OZn7qBd13pAwCLcB/s320/10a-hosties.jpg"		"Si conme Renart fist Primaut le frere Ysangrin prestre (7)"	"Comment Renart fit Primaut, le frère d'Ysengrin, prêtre"		
2538	"Si vos conteron d'un provoire"	"je vais vous raconter celle d'un prêtre"															
2539	"Qui passoit au travers d'un plain."	"qui passe à travers une plaine."															
2540	"Une boiste porte en son sain"	"Il porte une boîte sur sa poitrine,"	"sain"	"poitrine"													
2541	"Qui toute estoit d'oublees plainne."	"qui est toute pleine d'hosties."															
2542	"Li prestres passoit a grant painne"	"Le prêtre franchit à grand-peine"															
2543	"Une soif que a passer ot."	"une haie qu'il doit passer."															
2544	"La boiste, si con il alot,"	"Alors qu'il avançait, la boîte"															
2545	"Li chaï qu'il ne s'en perçut."	"tombe sans qu'il s'en aperçoive."															
2546	"Renart qui cele part corut"	"Renart, qui court de ce côté,"															
2547	"Trova la boiste, si la prent,"	"trouve la boîte et la prend."															
2548	"En son sain la mist vistement."	"Il la met rapidement dans sa poche,"	"sain"	"poche"													
2549	"Onques n'en fist noise ne bruit,"	"il ne fait aucun bruit à aucun moment,"	"Onques n'en fist noise ne bruit"	"il ne fait aucun bruit à aucun moment"													
2550	"Toz en travers les chans s'en fuit"	"et s'enfuit à travers champs"															
2551	"Tant qu'il fu bien loing de la voie."	"jusqu'à ce qu'il soit bien loin du chemin."															
2552	"Lors dist Renart : « Se Diex me voie,"	"Alors, Renart dit : « Que Dieu me comprenne,"	"voie"	"comprenne"													
2553	"Le verré ja que ici a. »"	"je vais regarder maintenant ce qu'il y a là-dedans. »"															
2554	"La boiste ovri, si i trouva"	"Il ouvre la boîte, et il y trouve"															
2555	"Mout bien .C. oublees ou plus,"	"une bonne centaine d'hosties, voire plus."															
2556	"Et il les menja sanz refus"	"Alors, il les mange sans se retenir,"	"sanz refus"	"sans se retenir"													
2557	"Toutes fors .IIII. qu'il enporte."	"toutes, sauf quatre qu'il emporte."															
2558	"En tost aler mout se deporte."	"Il s'amuse tout en marchant,"															
2559	"En sa bouche tient les oublees"	"et tient dans sa bouche les hosties"															
2560	"Qui furent en .II. ploiz doublees."	"qui sont pliées en deux."															
2561	"A tant s'en monte .I. tertre haut,"	"Puis il monte sur une grande colline,"															
2562	"Garda avant, si vit Primaut"	"et regarde loin devant; il voit Primaut"															
2563	"Le leu qui fu frere Ysengrin,"	"le loup, le frère d'Ysengrin,"															
2564	"Qui s'en venoit tot .I. chemin"	"qui arrive le long d'un chemin"															
2565	"Et de tost aler s'esvertue."	"en s'efforçant d'aller vite."															
2566	"Ou voit Renart, si le salue :"	"Au moment où l'autre voit Renart, il le salue :"															
2567	"« Sire Renart, bien veniez vos."	"« Seigneur Renart, soyez bien venu."															
2568	"— Primaut, Diex beneïe vos,"	"— Primaut, que Dieu vous bénisse,"															
2569	"Fet Renart, et bon jor aiez."	"répond Renart, et ayez une bonne journée."															
2570	"— Dont venez vos si eslessiez ?"	"— D'où venez-vous si réjoui ?"	"eslessiez"	"réjoui"													
2571	"Ou alez ? — Por chanter m'en vois"	"Où allez-vous ? — Je m'en vais chanter"															
2572	"A .I. moustier outre cel bois,"	"dans une église au delà de ce bois,"															
2573	"Por aler i sui aroutez."	"je suis sur le chemin qui y mène."	"Por aler i sui aroutez"	"je suis sur le chemin qui y mène"													
2574	"— Mes que est ce que vos portez ?"	"— Mais qu'est-ce que vous portez ?"															
2575	"— Par foi, ce dist Renart, gastiax"	"— Ma foi, lui dit Renart, des gâteaux"															
2576	"De mostier mout bons et mout biax."	"d'église, très bons et très beaux."															
2577	"— Gastiax ! fet Primaut, por saint Gile,"	"— Des gâteaux ! fait Primaut, par saint Gilles,"															
2578	"Ou les preïstes vos, biax sire ?"	"où les avez-vous pris, cher seigneur ?"															
2579	"— Ou ? par foi, la ou il estoient,"	"— Où ? ma foi, là où ils étaient,"															
2580	"Nul autre fors moi n'atendoient."	"ils n'attendaient nul autre que moi."															
2581	"— Donnez les moi, biax amis chiers."	"— Donnez les moi, très cher ami."															
2582	"— Par foi, sire, mout volentiers,"	"— Certainement, seigneur, très volontiers,"	"Par foi"	"Certainement"													
2583	"Fet Renart qui ne fu pas yvres,"	"fait Renart qui n'était pas ivre,"															
2584	"S'eles valoient .VC. livres. »"	"ils valent cinq cents livres. »"															
2585	"A tant li a Renart donnees"	"Alors, Renart lui donne"															
2586	"A bele chiere les oublees."	"les hosties de bonne grâce."	"a bele chiere"	"de bonne grâce"													
2587	"Mout furent bones a Primaut :"	"Elles font beaucoup de bien à Primaut :"															
2588	"« Renart, fait il, se Diex te saut,"	"« Renart, fait-il, que Dieu te protège,"	"se Diex te saut"	"que Dieu te protège"													
2589	"Ou les preïs en as tu mes ?"	"où les as-tu prises ? En as-tu encore ?"															
2590	"— Nenil, fet Renart, mes ci pres"	"— Non, répond Renart, mais je les ai prises"															
2591	"Les pris ge dedenz .I. moustier."	"dans une église près d'ici."															
2592	"— Mout par sont bones a mengier,"	"— Elles sont vraiment très bonnes à manger,"															
2593	"Fet Primaut, se plus en avoie,"	"fait Primaut, si j'en avais plus,"															
2594	"Mout volentiers en mengeroie,"	"je les mangerais volontiers."															
2595	"Foi que doi a l'ame mon pere,"	"Car, par la foi que je dois à l'âme de mon père,"															
2596	"Que je sent la fain trop amere"	"je ressens une faim si cruelle"															
2597	"Qui me destraint : par saint Germain,"	"qu'elle me torture, par saint Germain,"															
2598	"Ne menjai hui ne char ne pain,"	"je n'ai mangé aujourd'hui ni viande, ni pain,"															
2599	"Ne poisson ne autre vitaille ;"	"ni poisson, ni aucune autre nourriture,"															
2600	"Peor ai le cuer ne me faille."	"j'ai peur que mon cœur ne lâche."															
2601	"— Tout ce, dist Renart, n'a mestier."	"— Tout cela n'a plus d'importance, dit Renart,"	"Tout ce … n'a mestier"	"Tout cela n'a plus d'importance"													
2602	"Vien, si iron a .I. moustier"	"viens, nous irons dans une église"															
2603	"Ou il en a encor assez,"	"où il y en a encore beaucoup."															
2604	"Tant que tu soies respassez"	"Tu en auras jusqu'à ce que tu sois guéri"															
2605	"De la fain qui si mal te trace,"	"de la faim qui te tiraille si méchamment,"															
2606	"Tu en avras, par saint Romacle."	"par saint Romacle."															
2607	"Tele viande huimés avras,"	"Tu auras cette nourriture aujourd'hui même,"															
2608	"A ta volenté en prendras."	"tu en prendras à volonté."															
2609	"— Renart, fet il, gari m'avez,"	"— Renart, fait-il, vous m'avez sauvé,"															
2610	"Por Dieu, se tant fere pouez"	"au nom de Dieu, si vous pouvez tant faire"															
2611	"Que je peusse ma pance emplir,"	"que je puisse remplir mon ventre,"															
2612	"Encor le vos porré merir"	"alors, je vous en récompenserai"	"vos porré merir"	"je vous récompenserai"													
2613	"Tele ore que besoing avroiz."	"d'autant d'or que vous aurez besoin."	"Tele ore"	"d'autant d'or"													
2614	"— Par mon chief, et vos en avroiz,"	"— Sur ma tête, vous en aurez,"															
2615	"Fet Renart, se me volez croire,"	"répond Renart, si vous voulez me croire,"															
2616	"Tout mau gré le nes au provoire."	"et tout cela sous le nez du prêtre."	"Tout mau gré le nes au provoire"	"et tout cela sous le nez du prêtre"													
2617	"Le moustier si est ici pres,"	"L'église est très près d'ici,"															
2618	"Alez avant, g'irai aprés. »"	"partez devant, je vous suivrai. »"				"x"											
2619	"A tant se metent a la voie"	"Sur ce, Renart et Primaut se mettent"			40			"x"		"Renart fait boire Primaut"	"2010/05/primaut-fait-pretre-renart-fait-boire.html"	"https://4.bp.blogspot.com/-XUkrYElGYfw/V-_Soq9b6aI/AAAAAAAAHrs/W7gJ3PgNwLwxaOcKjZr6MB1_r9BMwchGwCLcB/s320/10b-primaut-ivre.jpg"					
2620	"Renart et Primaut a grant joie."	"en route avec grande joie."															
2621	"Bien ont le droit chemin tenu"	"Ils suivent le bon chemin"	"ont le droit chemin tenu"	"Ils suivent le bon chemin"													
2622	"Tant qu'il sont au mostier venu,"	"jusqu'à ce qu'ils arrivent à l'église,"															
2623	"Dont li prestre fu chapelains,"	"dont le chapelain est le prêtre"															
2624	"Dont la boiste chaï des mains ;"	"qui a laissé tomber la boîte de ses mains."															
2625	"Quant Primaut le vit, si fu liez."	"Quand Primaut la voit, il est tout joyeux."															
2626	"Souz le soil as mains et as piez"	"Avec leurs mains et leurs pieds, ils font un trou"	"Souz le soil"	"dans le sol / sous le seuil"													
2627	"Font fosse desoz .I. degré,"	"dans le sol sous un escalier,"															
2628	"Tot maintenant sont enz entré."	"et entrent aussitôt à l'intérieur."															
2629	"A grant plenté i ont trovees"	"Ils y trouvent une grande quantité"															
2630	"Oublees bien envelopees"	"d'hosties bien enveloppées"															
2631	"Dedenz une blanche touaille."	"dans une serviette blanche."															
2632	"Primaut qui durement baaille"	"Primaut qui bâille fortement"															
2633	"Por la fain qui si le destraint,"	"à cause de la faim qui le torture,"															
2634	"La touaille prant, ses ataint,"	"saisit la serviette, l'approche de lui,"	"ataint"	"approche"													
2635	"Si les ot plus tost desnoees"	"puis les avale plus vite"	"desnoees"	"avalé / délivré"													
2636	"Que l'en eüst ses mains tornees ;"	"qu'on ait le temps de retourner ses mains."															
2637	"La boiste en a bien delivré."	"Il a complètement vidé la boîte."	"delivré"	"vidé"													
2638	"« Renart, fet il, bien as ouvré"	"« Renart, fait-il, vous avez bien œuvré"															
2639	"Que tu m'as ma volenté fete,"	"car vous avez fait mes volontés,"															
2640	"Mes cist mengiers mout me deshaite,"	"pourtant ce repas me chagrine beaucoup,"	"deshaite"	"chagrine"													
2641	"Car quant je plus en mengeroie,"	"car plus je mange,"															
2642	"Et ge voir grenor fain aroie."	"plus j'ai encore grand faim, vraiment !"															
2643	"Mes je voi une huche la,"	"Mais je vois une huche là-bas,"															
2644	"Espoir aucune chose i a"	"j'espère qu'il y a dedans quelque chose"															
2645	"Qui bone seroit a mengier."	"qui soit bon à manger."															
2646	"Alons la huche despecier,"	"Allons mettre cette huche en pièces,"															
2647	"Si saron que il a dedenz."	"nous saurons ainsi ce qu'il y a dedans."															
2648	"Ce seroit savoir, par mes denz."	"Ça serait habile, par mes dents."	"savoir"	"habile"													
2649	"— Alons, fet Renart, de par Dé,"	"— Allons-y, fait Renart, par Dieu,"															
2650	"Et si n'i ait plus demoré"	"il n'y a pas à tarder plus ici,"															
2651	"Que je l'otroi bien et greant. »"	"je vous l'accorde bien volontiers. »"															
2652	"Et lors en vont tot maintenant,"	"Ils s'en vont alors aussitôt,"															
2653	"Si sont a la huche venu."	"et arrivent à la huche."															
2654	"Primaut qui plus vezïez fu,"	"Primaut qui est plus habile,"															
2655	"Prist la huche a quelque painne,"	"prend la huche, et après quelques efforts,"															
2656	"En a brisiee la moraine."	"brise le moraillon."															
2657	"La huche ovrirent mout trestost,"	"Ils ouvrent la huche complètement;"	"trestost"	"complètement"													
2658	"Dedenz ot li prestres repost"	"les prêtres ont caché dedans"															
2659	"Pain et vin et char et poisson."	"du pain, du vin, de la viande et du poisson."															
2660	"« Renart, dist Primaut, or avon"	"Renart dit à Primaut : « Nous avons à présent"															
2661	"Assez a mengier, Dieu merci."	"beaucoup à manger, Dieu merci !"															
2662	"Or estent la touaille ci"	"Étendez donc ici, la nappe,"															
2663	"Que tu voiz desus cel autel,"	"que vous voyez sur cet autel,"															
2664	"Et si aporte ça del sel,"	"apportez aussi du sel,"															
2665	"Si mengeron de ceste char."	"puis nous mangerons de cette viande."															
2666	"Ne tieng pas celui a eschar"	"Il ne s'est pas moqué, celui"	"Ne tieng pas celui a eschar"	"Il ne s'est pas moqué, celui"													
2667	"Qui ici mucie l'avoit."	"qui l'a cachée ici."															
2668	"Or menjons, que Diex nos avoit"	"Mangeons maintenant, puisque Dieu nous a"															
2669	"Tout estrïé, ce est bien fet. »"	"tout livré, voilà qui est parfait. »"	"estrïé"	"livré"													
2670	"Primaut a de la huche tret"	"Primaut extrait de la huche,"															
2671	"Le pain, le vin et la char terre,"	"le pain, le vin et la viande,"															
2672	"Et andui s'asient a terre,"	"et tous deux s'assoient par terre."															
2673	"Si ont andui mengié ensemble"	"Puis ils mangent ensemble"															
2674	"Pain et vin et char, ce me semble,"	"le pain, le vin et la viande, il me semble,"															
2675	"A grant plenté et a foison."	"en très grande quantité."															
2676	"Se il fussent en lor meson,"	"S'ils étaient dans leur maison,"															
2677	"N'eüssent il pas grenor joie."	"ils n'auraient pas de plus grande joie."															
2678	"Renart dist souef qu'en ne l'oie :"	"Renart dit tout bas pour que l'autre ne l'entende pas :"															
2679	"« Primaut, mout es ore haitiez."	"« Primaut, vous êtes très content maintenant,"															
2680	"Mes se Diex ait de moi pitiez,"	"mais si Dieu a pitié de moi,"															
2681	"Ge metré engin et entente."	"je vais user de ma ruse avec application."	"Ge metré engin et entente"	"je vais user de ma ruse avec application"													
2682	"Primaut, fet il, mout m'atalente"	"Primaut, fait-il, il me plaît beaucoup"															
2683	"Que si bien estes conreez."	"que vous soyez si bien traité."	"conreez"	"traité"													
2684	"Versez du vin et si bevez,"	"Versez du vin, puis buvez,"															
2685	"Et n'aiez peor de nului,"	"et n'ayez peur de personne,"															
2686	"Mout vos est bien avenu hui. »"	"il ne vous arrive que du bien aujourd'hui. »"															
2687	"Dist Primaut : « Sachiez sanz mentir,"	"Primaut répond : « Sachez sans mentir,"															
2688	"Assez en bevrons par loisir,"	"que nous en boirons à loisir,"															
2689	"Que assez en avon, ce croi,"	"car nous en aurions suffisamment, je crois,"															
2690	"Se estion encore troi,"	"si nous étions trois de plus,"															
2691	"A grant foison et a plenté. »"	"pour boire à foison. »"															
2692	"Tant burent a lor volenté"	"Ils boivent à volonté si bien"															
2693	"Qu'a Primaut le cervel bolut."	"que le cerveau de Primaut commence à bouillir."															
2694	"Renart qui mout bien l'aparçut"	"Renart, qui s'en est très bien aperçu,"															
2695	"Li dist : « Compains, riens ne feson"	"lui dit : « Compagnon, rien ne se passe"	"riens ne feson"	"rien ne se passe"													
2696	"Quant du vin assez ne bevon,"	"quand on ne boit pas assez de vin,"															
2697	"Car en bevez, sire Primaut,"	"buvez en donc, seigneur Primaut,"															
2698	"Et si soiez joiant et baut."	"et soyez joyeux et plein d'entrain."	"joiant et baut"	"joyeux et plein d'entrain"													
2699	"— Si faz ge, dist il, par ma foi,"	"— C'est ce que je fais, dit-il, par ma foi,"															
2700	"Et tu, Renart, verse, si boi."	"et vous, Renart, servez-vous et buvez !"															
2701	"— Si faz ge, dist Renart, assez."	"— C'est ce que je fais, dit Renart, et beaucoup."															
2702	"Mes vos, biau doz amis, bevez,"	"Mais vous, très cher ami, buvez,"															
2703	"Que trop vos voi de boire lent."	"car je vous vois boire très lentement."															
2704	"Bevez .I. poi plus durement,"	"Buvez un peu plus fermement,"															
2705	"De boire vos voi recreü. »"	"je vous vois fatigué de boire. »"	"recreü"	"fatigué"													
2706	"Dist Primaut : « Je boif plus que tu."	"Primaut dit : « Je bois plus que vous."															
2707	"— Non fez, dist Renart, par ma foi,"	"— Mais non, dit Renart, par ma foi,"															
2708	"J'en ai bien beü plus que toi"	"j'en ai bu bien plus que vous,"															
2709	"Qui vaut la monte d'un fer d'asne."	"pour une quantité qui vaut le montant d'un fer d'âne."															
2710	"Mes tien le henap, si di : “have”."	"De plus je tiens le ciboire, alors je vous dis : échec !"	"have"	"échec"													
2711	"— Compaingnon, je te di : “guersai”."	"— Compagnon, je relève le défi !"	"je te di : “guersai”"	"je relève le défi"													
2712	"— Par foi, dist Renart, je l'otrai."	"— Certainement, dit Renart, j'accepte,"															
2713	"Or verron qui ert recreüz,"	"nous verrons à présent qui s'avoue vaincu,"	"ert recreüz"	"s'avoue vaincu"													
2714	"Et par qui ert plus tost beüz"	"et qui boira plus vite"															
2715	"Le vin et le henap vuidiez."	"le vin, et videra le ciboire."															
2716	"— Renart, fait il, vos me cuidiez"	"— Renart, fait-il, vous pensez"															
2717	"De vin mater, mes non ferez."	"me mater avec du vin, mais vous n'y arriverez pas."	"mes non ferez"	"mais vous n'y arriverez pas"													
2718	"Or verrai conment vos bevrez."	"Voyons à présent comment vous buvez."															
2719	"Vidiez le henap que tenez,"	"Videz le ciboire que vous tenez,"															
2720	"Puis l'emplez, si le me rendez,"	"puis remplissez le, et donnez le moi,"															
2721	"Ja n'en iré a vos faillant. »"	"jamais je m'en irai d'ici en perdant contre vous. »"	"Ja n'en iré a vos faillant"	"jamais je m'en irai d'ici en perdant contre vous"													
2722	"Renart fet de boire semblant,"	"Renart fait semblant de boire,"															
2723	"Tout le vin giete en son sain."	"il jette tout le vin dans sa poche."	"sain"	"poche"													
2724	"Cil qui n'a pas le cervel plain,"	"L'autre, qui n'a plus l'esprit clair,"	"le cervel plain"	"l'esprit clair"													
2725	"De rien nule ne s'aparçoit."	"ne s'aperçoit de rien du tout."															
2726	"Renart le remple, et cil boit"	"Renart remplit le ciboire, et l'autre le boit"															
2727	"A mout grant joie et a grant feste."	"avec beaucoup de joie et d'entrain."	"A mout grant joie et a grant feste"	"avec beaucoup de joie et d'entrain"													
2728	"Li oil li luisent en la teste"	"Ses yeux luisent sur sa tête"															
2729	"Autresi com .I. vif charbon."	"comme du charbon ardent."															
2730	"Noble cuide estre le lion,"	"Il s'imagine être Noble le lion,"															
2731	"Et Renart soit de sa mesnie."	"et que Renart fait parti de sa suite."	"soit de sa mesnie"	"fait parti de sa suite"													
2732	"Renart fet bele chiere et lie,"	"Renart lui fait bonne et joyeuse figure,"	"fet bele chiere et lie"	"fait bonne et joyeuse figure"													
2733	"Et sovent a boivre li donne,"	"et lui redonne souvent à boire;"															
2734	"Por noient fust delez la tonne ;"	"le contenu d'un tonneau ne serait rien à côté,"	"Por noient fust delez la tonne"	"le contenu d'un tonneau ne serait rien à coté"													
2735	"Et Primaut bevoit durement."	"car Primaut boit fermement."															
2736	"Renart si li forre souvent"	"Alors, Renart continue de le ravitailler"	"forre"	"ravitailler / fourrer / garnir"													
2737	"Autresi con s'il fust a feste."	"comme si c'était un jour de fête."															
2738	"Le vin est montez en la teste"	"Le vin monte à la tête"															
2739	"A Primaut, tant en a beü."	"de Primaut, tellement il en boit."															
2740	"« Renart, fet il, avez veü"	"« Renart, fait-il, avez-vous vu"															
2741	"Que Diex nos a amené ci,"	"que Dieu nous a amené ici ?"															
2742	"Mout avon esté bien servi,"	"Nous avons été très bien servi"															
2743	"La merci Dieu, a cest souper."	"à souper, par la grâce de Dieu."															
2744	"Se nos fusons maior ou per,"	"Si nous étions maires ou pairs,"															
2745	"Ne peüssons pas estre miex."	"nous ne pourrions pas l'être mieux."															
2746	"Or vos di ge bien par mes iex"	"Maintenant, je vous dis, sur mes yeux,"															
2747	"Que je voil orendroit aler"	"que je veux aller directement"															
2748	"A cest autel messe chanter,"	"à cet autel chanter la messe."															
2749	"Et je voi tot prest sor l'autel"	"D'ailleurs, je vois dessus, tout prêt,"															
2750	"Le vestement et le mesel."	"la chasuble et le missel."															
2751	"Por ce i furent mis sanz doutance,"	"Ils ont été mis là pour ça sans aucun doute,"															
2752	"Et je me recort de m'enfance,"	"ça me rappelle mon enfance"															
2753	"Apris a chanter et a lire,"	"quand j'ai appris à chanter et à lire."															
2754	"Ja m'en orrez del plus bel dire. »"	"Vous allez maintenant m'entendre dire le meilleur. »"	"del plus bel"	"le meilleur"		"x"											
2755	"Quant Renart la parole oï,"	"Quand Renart entend ces mots,"			41			"x"		"La tonsure de Primaut"	"2010/06/primaut-fait-pretre-la-tonsure.html"	"https://3.bp.blogspot.com/-EChnRY1DaBs/V_DfVB4CoYI/AAAAAAAAH40/RY-AWbgVQ9QM4gmnWGZrJttSllZns80igCLcB/s320/10c-tonsure-de-primaut.jpg"					
2756	"Dedenz son cuer s'en esjoï,"	"cela lui réjouit le cœur"															
2757	"Que asotez est vraiement."	"car l'autre est complètement hébété."															
2758	"Primaut avra son paiement"	"Primaut aura sa récompense,"															
2759	"Si que il sera mout dolenz"	"et il va beaucoup souffrir"															
2760	"Ançois qu'il isse de laienz."	"avant qu'il sorte de là."															
2761	"« Tu porroies bien tel chant fere"	"« Vous pourriez bien faire un tel chant"															
2762	"Qui te torneroit a contrere."	"mais cela vous causerait des ennuis."															
2763	"Chanter ne doit nus, bien le sez,"	"Nul ne doit chanter, vous le savez bien,"															
2764	"Devant que il soit ordenez"	"avant qu'il soit ordonné"															
2765	"Ou soit prestres ou chapelains,"	"prêtre ou chapelain,"															
2766	"Ou il soit coronez au mains."	"ou qu'il ait au moins la tonsure."															
